PAGE URL,Product Title,Quantity,p_element,Brand,Flavour,Format,Nicotine,td_element,Strenght
https://prilla.com/us/2one-nicotine-pouches/2one-chewy-watermelon-8mg,2ONE Chewy Watermelon 8mg,21,"2ONE Chewy Watermelon 8mg combines the flavors of candy-like bubblegum and juicy watermelon, creating a sweet-centric tasting experience. Moreover, each pouch contains 8mg of nicotine, cementing them in the strong category. So, those more experienced users are better suited to the robust 2ONE nicotine sensation.",2ONE,Fruit,Slim,8  mg/pouch,Dholakia Tobacco Inc.,Normal
https://prilla.com/us/2one-nicotine-pouches/2one-very-berry-8mg,2ONE Very Berry 8mg,21,"2ONE Very Berry 8mg tastes no different than it sounds. It is sweet, tart, and tangy, combining different flavors to create a well-balanced berry-tasting experience. Within each of these fruity pouches is 8mg of nicotine, meaning each berry burst is accompanied by a significant nicotine sensation, suiting themselves to more experienced users.",2ONE,Berry,Slim,8  mg/pouch,Dholakia Tobacco Inc.,Normal
https://prilla.com/us/2one-nicotine-pouches/2one-naked-8mg,2ONE Naked 8mg,21,"2ONE Naked 8mg is unflavored and therefore doesn’t offer a specific flavor experience, so to speak, but it provides a sensation in its place. These nicotine pouches are refreshing, with a cooling sensation typically found within a minty flavor, but here, it stands alone. Each pouch contains 8mg of nicotine, which is more than enough for intermediate users to experience a satisfying nicotine sensation.",2ONE,Unflavored,Slim,8  mg/pouch,Dholakia Tobacco Inc.,Normal
https://prilla.com/us/2one-nicotine-pouches/2one-glacier-mint-8mg,2ONE Glacier Mint 8mg,21,"2ONE Glacier Mint 8mg is a nicotine pouch that brings a winter chill to your palate. With notes of herbal peppermint, it's a refreshing and cooling-tasting experience. Along with flavor comes nicotine, and in 2ONE’s case, 8mg is in each pouch, providing a significant nicotine sensation that is robust enough for those familiar with this product.",2ONE,Mint,Slim,8  mg/pouch,Dholakia Tobacco Inc.,Normal
https://prilla.com/us/2one-nicotine-pouches/2one-citrus-8mg,2ONE Citrus 8mg,21,"2ONE Citrus 8mg is the perfect balance of lemon and lime, with sour, tart, and bitter notes brought together by a subtle sweetness. To accompany this tasting experience, 8 mg of nicotine is in each pouch, making it a strong product.",2ONE,Citrus,Slim,8  mg/pouch,Dholakia Tobacco Inc.,Normal
https://prilla.com/us/2one-nicotine-pouches/2one-wintergreen-8mg,2ONE Wintergreen 8mg,21,"2ONE Wintergreen 8mg is one of the most popular tasting experiences in the US. It’s minty, aromatic, and cool, entertaining and refreshing the palate at the same time. Accompanying this flavor profile is 8mg of nicotine per pouch, providing a present sensation suited for all-day use for the more experienced user. This strength may be outside your wheelhouse for those new to this product.",2ONE,Wintergreen,Slim,8  mg/pouch,Dholakia Tobacco Inc.,Normal
https://prilla.com/us/accessibility,Accessibility,,,,,,,,
https://prilla.com/us/alp-nicotine-pouches/alp-chilled-mint-3mg,ALP Chilled Mint 3mg,20,"ALP Chilled Mint 3mg is your standard mint flavor; it’s straightforward and doesn’t mess around. With a cool and fresh herbal flavor, your palate is refreshed instantly. Due to its standard strength, users of all experiences can enjoy it. However, those more advanced users may find the nicotine content to be low. That’s why ALP has this tasting experience in two stronger strengths, both of which are available at Prilla.com.",ALP,Mint,Slim,3  mg/pouch,ALP Supply Co. LLC,Light
https://prilla.com/us/alp-nicotine-pouches/alp-chilled-mint-6mg,ALP Chilled Mint 6mg,20,"ALP Chilled Mint 6mg is the go-to mint nicotine pouch. It’s balanced and, most importantly, cooling. Everything a mint flavor should be. Alongside this no-nonsense tasting experience is a nicotine sensation supplied by 6mg of nicotine, so intermediate users can enjoy a potent sensation.",ALP,Mint,Slim,6  mg/pouch,ALP Supply Co. LLC,Normal
https://prilla.com/us/alp-nicotine-pouches/alp-chilled-mint-9mg,ALP Chilled Mint 9mg,20,"ALP Chilled Mint 9mg is a potent mint pouch designed to provide the most experienced users with an intense sensation. It does just that and is accompanied by an equally robust frost herbal-tasting experience, leaving the palate cool and refreshed.",ALP,Mint,Slim,9  mg/pouch,ALP Supply Co. LLC,
https://prilla.com/us/alp-nicotine-pouches/alp-mountain-wintergreen-3mg,ALP Mountain Wintergreen 3mg,20,"ALP Mountain Wintergreen 3mg is a pouch for those with a low nicotine tolerance, as each contains 3mg of nicotine. Unlike its low strength, the flavor profile packs a punch with a cool, crisp, and fresh wintergreen-tasting experience.",ALP,Wintergreen,Slim,3  mg/pouch,ALP Supply Co. LLC,Light
https://prilla.com/us/alp-nicotine-pouches/alp-mountain-wintergreen-6mg,ALP Mountain Wintergreen 6mg,20,"ALP Mountain Wintergreen 6mg is a nicotine pouch that channels your inner outdoorsman, even if that’s not in your nature. With fresh and cool notes that resemble the crisp mountain air, it’s a wintergreen-flavored product that will refresh the palate. Each sachet holds 6mg of nicotine, making it a great addition for advanced and intermediate users.",ALP,Wintergreen,Slim,6  mg/pouch,ALP Supply Co. LLC,Normal
https://prilla.com/us/alp-nicotine-pouches/alp-mountain-wintergreen-9mg,ALP Mountain Wintergreen 9mg,20,"ALP Mountain Wintergreen 9mg is a potent nicotine pouch built for those experienced users wanting an intense sensation, as each holds 9mg of nicotine. To match is an equally robust wintergreen-tasting experience that is cool and fresh.",ALP,Wintergreen,Slim,9  mg/pouch,ALP Supply Co. LLC,
