PAGE URL,zyn_wintergreen_6mg,Image,Description
https://prilla.com/us/zyn-nicotine-pouches/zyn-wintergreen-6,ZYN Wintergreen 6mg,https://prilla.com/media/catalog/product/cache/1f74410ad1047917b68b5f820981491a/z/y/zyn_wintergreen_06_can_90o_sgw_2019.jpg,ZYN Wintergreen 6mg
https://prilla.com/us/zyn-nicotine-pouches/zyn-spearmint-6,ZYN Spearmint 6mg,https://prilla.com/media/catalog/product/cache/1f74410ad1047917b68b5f820981491a/z/y/zyn_spearmint_06_can_90o_sgw_2019_1.jpg,ZYN Spearmint 6mg
https://prilla.com/us/zyn-nicotine-pouches/zyn-smooth-6,ZYN Smooth 6mg,https://prilla.com/media/catalog/product/cache/1f74410ad1047917b68b5f820981491a/z/y/zyn_smooth_6.png,ZYN Smooth 6mg
https://prilla.com/us/zyn-nicotine-pouches/zyn-spearmint-3,ZYN Spearmint 3mg,https://prilla.com/media/catalog/product/cache/1f74410ad1047917b68b5f820981491a/z/y/zyn_spearmint_03_can_90o_sgw_2019.jpg,ZYN Spearmint 3mg
https://prilla.com/us/zyn-nicotine-pouches/zyn-wintergreen-3,ZYN Wintergreen 3mg,https://prilla.com/media/catalog/product/cache/1f74410ad1047917b68b5f820981491a/z/y/zyn_wintergreen_03_can_90o_sgw_2019.jpg,ZYN Wintergreen 3mg
https://prilla.com/us/zyn-nicotine-pouches/zyn-smooth-3,ZYN Smooth 3mg,https://prilla.com/media/catalog/product/cache/1f74410ad1047917b68b5f820981491a/z/y/zyn_smooth_3.png,ZYN Smooth 3mg
https://prilla.com/us/zyn-nicotine-pouches/zyn-peppermint-6,ZYN Peppermint 6mg,https://prilla.com/media/catalog/product/cache/1f74410ad1047917b68b5f820981491a/z/y/zyn_peppermint_06_can_90o_sgw_2019.jpg,ZYN Peppermint 6mg
https://prilla.com/us/zyn-nicotine-pouches/zyn-peppermint-3,ZYN Peppermint 3mg,https://prilla.com/media/catalog/product/cache/1f74410ad1047917b68b5f820981491a/z/y/zyn_peppermint_03_can_90o_sgw_2019.jpg,ZYN Peppermint 3mg
https://prilla.com/us/zyn-nicotine-pouches/zyn-menthol-6,ZYN Menthol 6mg,https://prilla.com/media/catalog/product/cache/1f74410ad1047917b68b5f820981491a/z/y/zyn_menthol_06.png,ZYN Menthol 6mg
https://prilla.com/us/zyn-nicotine-pouches/zyn-menthol-3,ZYN Menthol 3mg,https://prilla.com/media/catalog/product/cache/1f74410ad1047917b68b5f820981491a/z/y/zyn_menthol_03.png,ZYN Menthol 3mg
https://prilla.com/us/zyn-nicotine-pouches/zyn-cool-mint-6,ZYN Cool Mint 6mg,https://prilla.com/media/catalog/product/cache/1f74410ad1047917b68b5f820981491a/z/y/zyn_coolmint_06_can_90o_sgw_2019.jpg,ZYN Cool Mint 6mg
https://prilla.com/us/zyn-nicotine-pouches/zyn-cool-mint-3,ZYN Cool Mint 3mg,https://prilla.com/media/catalog/product/cache/1f74410ad1047917b68b5f820981491a/z/y/zyn_coolmint_03_can_90o_sgw_2019.jpg,ZYN Cool Mint 3mg
https://prilla.com/us/zyn-nicotine-pouches/zyn-coffee-6,ZYN Coffee 6mg,https://prilla.com/media/catalog/product/cache/1f74410ad1047917b68b5f820981491a/z/y/zyn_coffee_06_can_90o_sgw_2019.jpg,ZYN Coffee 6mg
https://prilla.com/us/zyn-nicotine-pouches/zyn-coffee-3,ZYN Coffee 3mg,https://prilla.com/media/catalog/product/cache/1f74410ad1047917b68b5f820981491a/z/y/zyn_coffee_03_can_90o_sgw_2019_2.jpg,ZYN Coffee 3mg
https://prilla.com/us/zyn-nicotine-pouches/zyn-citrus-6,ZYN Citrus 6mg,https://prilla.com/media/catalog/product/cache/1f74410ad1047917b68b5f820981491a/z/y/zyn_citrus_6mg.png,ZYN Citrus 6mg
https://prilla.com/us/zyn-nicotine-pouches/zyn-citrus-3,ZYN Citrus 3mg,https://prilla.com/media/catalog/product/cache/1f74410ad1047917b68b5f820981491a/z/y/zyn_citrus_3mg.png,ZYN Citrus 3mg
