Source URL,Target URL,Hreflang,Target Status,Issue Type,Severity,Recommendation,Final URL
"https://www.nicotine-pouches.org/product/ace-red-apple-cinnamon","https://www.nicotine-pouches.org/us/","en-us",308,"308 Redirect","MEDIUM","Update hreflang to point directly to final URL (https://www.nicotine-pouches.org/us) to avoid redirect chains.","https://www.nicotine-pouches.org/us"
"https://www.nicotine-pouches.org/product/iceberg-sweet-mint","https://www.nicotine-pouches.org/us/product/iceberg-sweet-mint","en-US",404,"404 Error","HIGH","Fix broken hreflang: Target URL returns 404. Either update the hreflang to point to a valid URL or remove it.","N/A"
"https://www.nicotine-pouches.org/us/blog/do-nicotine-pouches-help-quit-smoking","https://www.nicotine-pouches.org/us/","en-us",308,"308 Redirect","MEDIUM","Update hreflang to point directly to final URL (https://www.nicotine-pouches.org/us) to avoid redirect chains.","https://www.nicotine-pouches.org/us"
"https://www.nicotine-pouches.org/product/cuba-cola","https://www.nicotine-pouches.org/us/product/cuba-cola","en-US",404,"404 Error","HIGH","Fix broken hreflang: Target URL returns 404. Either update the hreflang to point to a valid URL or remove it.","N/A"
"https://www.nicotine-pouches.org/product/lyft-eucalyptus-honey","https://www.nicotine-pouches.org/us/product/lyft-eucalyptus-honey","en-US",404,"404 Error","HIGH","Fix broken hreflang: Target URL returns 404. Either update the hreflang to point to a valid URL or remove it.","N/A"
"https://www.nicotine-pouches.org/product/77-ice-mint","https://www.nicotine-pouches.org/us/product/77-ice-mint","en-US",404,"404 Error","HIGH","Fix broken hreflang: Target URL returns 404. Either update the hreflang to point to a valid URL or remove it.","N/A"
"https://www.nicotine-pouches.org/product/nordic-spirit-spearmint","https://www.nicotine-pouches.org/us/product/nordic-spirit-spearmint","en-US",404,"404 Error","HIGH","Fix broken hreflang: Target URL returns 404. Either update the hreflang to point to a valid URL or remove it.","N/A"
"https://www.nicotine-pouches.org/product/cuba-jogurt","https://www.nicotine-pouches.org/us/","en-us",308,"308 Redirect","MEDIUM","Update hreflang to point directly to final URL (https://www.nicotine-pouches.org/us) to avoid redirect chains.","https://www.nicotine-pouches.org/us"
"https://www.nicotine-pouches.org/us/blog/norwegian-nicotine-pouches","https://www.nicotine-pouches.org/us/","en-us",308,"308 Redirect","MEDIUM","Update hreflang to point directly to final URL (https://www.nicotine-pouches.org/us) to avoid redirect chains.","https://www.nicotine-pouches.org/us"
"https://www.nicotine-pouches.org/product/helwit-cola","https://www.nicotine-pouches.org/us/product/helwit-cola","en-US",404,"404 Error","HIGH","Fix broken hreflang: Target URL returns 404. Either update the hreflang to point to a valid URL or remove it.","N/A"
