ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalogue","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Meta: brand","Meta: product_brand","Meta: manufacturer","Meta: brand_name","Meta: product_manufacturer","Meta: _product_cat","Meta: avada_post_views_count_today_date","Meta: _source_file","Meta: _vendor_link","Meta: wp-smush-lcp-data-0320cb","Meta: _store_count_us","Meta: _store_count_uk","Meta: _store_count","Meta: _watching_count","Meta: wp-smush-lcp-data-0aec71","Meta: wp-smush-lcp-data-0e4cc8","Meta: avada_post_views_count","Meta: avada_today_post_views_count","Meta: wp-smush-lcp-data-0d29b1","Meta: wp-smush-lcp-data-09e777","Meta: wp-smush-lcp-data-0c8db8","Meta: wp-smush-lcp-data-0a8259","Meta: wp-smush-lcp-data-00502f","Meta: wp-smush-lcp-data-033ac9","Meta: wp-smush-lcp-data-027185","Meta: wp-smush-lcp-data-001cad","Meta: wp-smush-lcp-data-0d9e57","Meta: wp-smush-lcp-data-04a26b","Meta: wp-smush-lcp-data-0dbc3e","Meta: wp-smush-lcp-data-090c54","Meta: wp-smush-lcp-data-0a9a6d","Meta: wp-smush-lcp-data-0a4c37","Meta: wp-smush-lcp-data-096846","Meta: wp-smush-lcp-data-0cbc2c","Meta: wp-smush-lcp-data-0cf198","Meta: wp-smush-lcp-data-077b00","Meta: wp-smush-lcp-data-0533e7","Meta: wp-smush-lcp-data-03841f","Meta: wp-smush-lcp-data-049033","Meta: wp-smush-lcp-data-0790a2","Meta: wp-smush-lcp-data-0442c1","Meta: wp-smush-lcp-data-0700e4","Meta: wp-smush-lcp-data-02540e","Meta: wp-smush-lcp-data-05f0a8","Meta: wp-smush-lcp-data-07be9e","Meta: wp-smush-lcp-data-0e21ae","Meta: wp-smush-lcp-data-0d21ba","Meta: wp-smush-lcp-data-039773","Meta: wp-smush-lcp-data-08f93e","Meta: wp-smush-lcp-data-0ee2d8","Meta: wp-smush-lcp-data-0ce664","Meta: wp-smush-lcp-data-0ba8fc","Meta: wp-smush-lcp-data-0e8efe","Meta: wp-smush-lcp-data-09faa9","Meta: wp-smush-lcp-data-0be8e7","Meta: wp-smush-lcp-data-04c033","Meta: wp-smush-lcp-data-0b12d8","Meta: wp-smush-lcp-data-0e1575","Meta: wp-smush-lcp-data-0abee9","Meta: wp-smush-lcp-data-03c959","Meta: wp-smush-lcp-data-0b6ff4","Meta: wp-smush-lcp-data-0e4416","Meta: wp-smush-lcp-data-06b7ca","Meta: wp-smush-lcp-data-064304","Meta: wp-smush-lcp-data-00dd3f"
66850,simple,SKU-4NX-BLUE-RASPBERRY-ICE,,"4NX Blue Raspberry Ice",1,0,visible,"Premium 4NX Blue Raspberry Ice nicotine pouches by 4NX with Ice flavor","Experience the premium quality of 4NX Blue Raspberry Ice nicotine pouches by 4NX with Ice flavor. These high-quality nicotine pouches provide a satisfying and discreet nicotine experience without tobacco. Perfect for on-the-go use, these pouches offer a clean and modern alternative to traditional smoking.",,,taxable,,1,,,0,0,,,,,1,,,,All,,,"https://gianna.templweb.com/wp-content/uploads/2025/09/4NX_Blue_Raspberry_Ice_Slim_Strong_4_5_10mg_Nicotine_Pouches-5060950060467-42.jpg, https://gianna.templweb.com/wp-content/uploads/2025/09/4NX_Blue_Raspberry_Ice_Slim_Strong_4_5_10mg_Nicotine_Pouches-5060950060467-43.jpg",,,,,,,,,0,4NX,Flavor,Ice,1,0,Manufacturer,4NX,1,0,4NX,4NX,4NX,4NX,4NX,4NX,04-09-2025,4nx-arctic-mint-uk----4-24---free-shipping-2025-09-04T08-13-27-095Z.csv,https://twowombats.com/products/4nx-nicotine-pouches-blue-raspberry-ice,"{""selector"": ""div.woocommerce-product-gallery__wrapper>div.woocommerce-product-gallery__image>a>img.wp-post-image"", ""selector_xpath"": ""/html/body/div[1]/div/main/div/section/div/div/div[3]/div/div[1]/div/div/div/div/div/div/a[1]/img"", ""selector_id"": """", ""selector_class"": ""wp-post-image"", ""image_url"": ""https://twowombats.com/cdn/shop/files/4NX_Blue_Raspberry_Ice_Slim_Strong_4_5_10mg_Nicotine_Pouches-5060950060467.webp?v=1710482709&width=675"", ""version"": 0}",0,1,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66859,simple,SKU-4NX-ARCTIC-MINT,,"4NX Arctic Mint",1,0,visible,"Premium 4NX Arctic Mint nicotine pouches by 4NX with Mint flavor","Experience the premium quality of 4NX Arctic Mint nicotine pouches by 4NX with Mint flavor. These high-quality nicotine pouches provide a satisfying and discreet nicotine experience without tobacco. Perfect for on-the-go use, these pouches offer a clean and modern alternative to traditional smoking.",,,taxable,,1,,,0,0,,,,,1,,,,All,,,"https://gianna.templweb.com/wp-content/uploads/2025/09/4NX_Arctic_Mint_Slim_Extra_Strong_5_5_12mg_Nicotine_Pouches-5060882813872-28.jpg, https://gianna.templweb.com/wp-content/uploads/2025/09/4NX_Arctic_Mint_Slim_Extra_Strong_5_5_12mg_Nicotine_Pouches-5060882813872-29.jpg",,,,,,,,,0,4NX,Flavor,Mint,1,0,Manufacturer,4NX,1,0,4NX,4NX,4NX,4NX,4NX,4NX,04-09-2025,4nx-arctic-mint-uk----4-24---free-shipping-2025-09-04T08-13-27-095Z.csv,https://twowombats.com/products/4nx-nicotine-pouches-arctic-mint,,0,1,1,19,"{""selector"": ""div.woocommerce-product-gallery__wrapper>div.woocommerce-product-gallery__image>a>img.wp-post-image"", ""selector_xpath"": ""/html/body/div[1]/div/main/div/section/div/div/div[3]/div/div[1]/div/div/div/div/div/div/a[1]/img"", ""selector_id"": """", ""selector_class"": ""wp-post-image"", ""image_url"": ""https://twowombats.com/cdn/shop/files/4NX_Arctic_Mint_Slim_Extra_Strong_5_5_12mg_Nicotine_Pouches-5060882813872.webp?v=1713364600&width=675"", ""version"": 0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66862,simple,SKU-4NX-ICY-MINT,,"4NX Icy Mint",1,0,visible,"Premium 4NX Icy Mint nicotine pouches by 4NX with Mint flavor","Experience the premium quality of 4NX Icy Mint nicotine pouches by 4NX with Mint flavor. These high-quality nicotine pouches provide a satisfying and discreet nicotine experience without tobacco. Perfect for on-the-go use, these pouches offer a clean and modern alternative to traditional smoking.",,,taxable,,1,,,0,0,,,,,1,,,,All,,,"https://gianna.templweb.com/wp-content/uploads/2025/09/4NX_Icy_Mint_Slim_Strong_4_5_10mg_Nicotine_Pouches-5060882813865-26.jpg, https://gianna.templweb.com/wp-content/uploads/2025/09/4NX_Icy_Mint_Slim_Strong_4_5_10mg_Nicotine_Pouches-5060882813865-27.jpg",,,,,,,,,0,4NX,Flavor,Mint,1,0,Manufacturer,4NX,1,0,4NX,4NX,4NX,4NX,4NX,4NX,06-09-2025,4nx-arctic-mint-uk----4-24---free-shipping-2025-09-04T08-13-27-095Z.csv,https://twowombats.com/products/4nx-nicotine-pouches-icy-mint,,0,1,1,18,,"{""selector"": ""div.woocommerce-product-gallery__wrapper>div.woocommerce-product-gallery__image>a>img.wp-post-image"", ""selector_xpath"": ""/html/body/div[1]/div/main/div/section/div/div/div[3]/div/div[1]/div/div/div/div/div/div/a[1]/img"", ""selector_id"": """", ""selector_class"": ""wp-post-image"", ""image_url"": ""https://twowombats.com/cdn/shop/files/4NX_Icy_Mint_Slim_Strong_4_5_10mg_Nicotine_Pouches-5060882813865.webp?v=1710482587&width=675"", ""version"": 0}",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66866,simple,SKU-4NX-MINT,,"4NX Mint",1,0,visible,"Premium 4NX Mint nicotine pouches by 4NX with Mint flavor","Experience the premium quality of 4NX Mint nicotine pouches by 4NX with Mint flavor. These high-quality nicotine pouches provide a satisfying and discreet nicotine experience without tobacco. Perfect for on-the-go use, these pouches offer a clean and modern alternative to traditional smoking.",,,taxable,,1,,,0,0,,,,,1,,,,All,,,"https://gianna.templweb.com/wp-content/uploads/2025/09/4NX_Mint_Slim_Ultra_6_5_18mg_Nicotine_Pouches-5060725787667-22.jpg, https://gianna.templweb.com/wp-content/uploads/2025/09/4NX_Mint_Slim_Ultra_6_5_18mg_Nicotine_Pouches-5060725787667-23.jpg, https://gianna.templweb.com/wp-content/uploads/2025/09/4NX_Mint_Slim_Medium_3_5_6mg_Nicotine_Pouches-5060882813858-11.jpg",,,,,,,,,0,4NX,Flavor,Mint,1,0,Manufacturer,4NX,1,0,4NX,4NX,4NX,4NX,4NX,4NX,04-09-2025,4nx-arctic-mint-uk----4-24---free-shipping-2025-09-04T08-13-27-095Z.csv,https://twowombats.com/products/4nx-nicotine-pouches-mint,,0,1,1,19,,,,,"{""selector"": ""div.woocommerce-product-gallery__wrapper>div.woocommerce-product-gallery__image>a>img.wp-post-image"", ""selector_xpath"": ""/html/body/div[1]/div/main/div/section/div/div/div[3]/div/div[1]/div/div/div/div/div/div/a[1]/img"", ""selector_id"": """", ""selector_class"": ""wp-post-image"", ""image_url"": ""https://twowombats.com/cdn/shop/files/4NX_Mint_Slim_Ultra_6_5_18mg_Nicotine_Pouches-5060725787667.webp?v=1710482591&width=675|https://twowombats.com/cdn/shop/files/4NX_Mint_Slim_Medium_3_5_6mg_Nicotine_Pouches-5060882813858.webp?v=1710482591&width=675"", ""version"": 0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66869,simple,SKU-4NX-TROPICAL-ICE,,"4NX Tropical Ice",1,0,visible,"Premium 4NX Tropical Ice nicotine pouches by 4NX with Ice flavor","Experience the premium quality of 4NX Tropical Ice nicotine pouches by 4NX with Ice flavor. These high-quality nicotine pouches provide a satisfying and discreet nicotine experience without tobacco. Perfect for on-the-go use, these pouches offer a clean and modern alternative to traditional smoking.",,,taxable,,1,,,0,0,,,,,1,,,,All,,,"https://gianna.templweb.com/wp-content/uploads/2025/09/4NX_Tropical_Ice_Slim_Strong_4_5_10mg_Nicotine_Pouches-UNKNOWN000001-20.jpg, https://gianna.templweb.com/wp-content/uploads/2025/09/4NX_Tropical_Ice_Slim_Strong_4_5_10mg_Nicotine_Pouches-UNKNOWN000001-21.jpg",,,,,,,,,0,4NX,Flavor,Ice,1,0,Manufacturer,4NX,1,0,4NX,4NX,4NX,4NX,4NX,4NX,04-09-2025,4nx-arctic-mint-uk----4-24---free-shipping-2025-09-04T08-13-27-095Z.csv,https://twowombats.com/products/4nx-nicotine-pouches-tropical-ice,,0,1,1,22,,,,,,"{""selector"": ""div.woocommerce-product-gallery__wrapper>div.woocommerce-product-gallery__image>a>img.wp-post-image"", ""selector_xpath"": ""/html/body/div[1]/div/main/div/section/div/div/div[3]/div/div[1]/div/div/div/div/div/div/a[1]/img"", ""selector_id"": """", ""selector_class"": ""wp-post-image"", ""image_url"": ""https://twowombats.com/cdn/shop/files/4NX_Tropical_Ice_Slim_Strong_4_5_10mg_Nicotine_Pouches-UNKNOWN000001.webp?v=1710482593&width=675"", ""version"": 0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66872,simple,SKU-4NX-WATERMELON-ICE,,"4NX Watermelon Ice",1,0,visible,"Premium 4NX Watermelon Ice nicotine pouches by 4NX with Ice flavor","Experience the premium quality of 4NX Watermelon Ice nicotine pouches by 4NX with Ice flavor. These high-quality nicotine pouches provide a satisfying and discreet nicotine experience without tobacco. Perfect for on-the-go use, these pouches offer a clean and modern alternative to traditional smoking.",,,taxable,,1,,,0,0,,,,,1,,,,All,,,"https://gianna.templweb.com/wp-content/uploads/2025/09/4NX_Watermelon_Ice_Slim_Strong_4_5_10mg_Nicotine_Pouches-5060882810581-20.jpg, https://gianna.templweb.com/wp-content/uploads/2025/09/4NX_Watermelon_Ice_Slim_Strong_4_5_10mg_Nicotine_Pouches-5060882810581-21.jpg",,,,,,,,,0,4NX,Flavor,Ice,1,0,Manufacturer,4NX,1,0,4NX,4NX,4NX,4NX,4NX,4NX,04-09-2025,4nx-arctic-mint-uk----4-24---free-shipping-2025-09-04T08-13-27-095Z.csv,https://twowombats.com/products/4nx-nicotine-pouches-watermelon-ice,,0,1,1,14,,,,,,,"{""selector"": ""div.woocommerce-product-gallery__wrapper>div.woocommerce-product-gallery__image>a>img.wp-post-image"", ""selector_xpath"": ""/html/body/div[1]/div/main/div/section/div/div/div[3]/div/div[1]/div/div/div/div/div/div/a[1]/img"", ""selector_id"": """", ""selector_class"": ""wp-post-image"", ""image_url"": ""https://twowombats.com/cdn/shop/files/4NX_Watermelon_Ice_Slim_Strong_4_5_10mg_Nicotine_Pouches-5060882810581.webp?v=1710482592&width=675"", ""version"": 0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66876,simple,SKU-77-APPLE-AND-MINT,,"77 Apple &amp; Mint",1,0,visible,"Premium 77 Apple &amp; Mint nicotine pouches by 77 with Mint flavor","Experience the premium quality of 77 Apple &amp; Mint nicotine pouches by 77 with Mint flavor. These high-quality nicotine pouches provide a satisfying and discreet nicotine experience without tobacco. Perfect for on-the-go use, these pouches offer a clean and modern alternative to traditional smoking.",,,taxable,,1,,,0,0,,,,,1,,,,"Ultra Strong",,,"https://gianna.templweb.com/wp-content/uploads/2025/09/77_Apple_and_Mint_Slim_SL_45779_Nicotine_Pouches-NPO-77X_APMI_SL_0052-18.jpg, https://gianna.templweb.com/wp-content/uploads/2025/09/77_Apple_and_Mint_Slim_SL_45779_Nicotine_Pouches-NPO-77X_APMI_SL_0052-19.jpg, https://gianna.templweb.com/wp-content/uploads/2025/09/77_Apple_and_Mint_Slim_SL_45780_Nicotine_Pouches-NPO-77X_APMI_SL_0104-9.jpg",,,,,,,,,0,77,Flavor,Mint,1,0,Manufacturer,77,1,0,77,77,77,77,77,77,04-09-2025,4nx-arctic-mint-uk----4-24---free-shipping-2025-09-04T08-13-27-095Z.csv,https://twowombats.com/products/77-nicotine-pouches-apple-mint,,0,1,1,14,,,,,,,,"{""selector"": ""div.woocommerce-product-gallery__wrapper>div.woocommerce-product-gallery__image>a>img.wp-post-image"", ""selector_xpath"": ""/html/body/div[1]/div/main/div/section/div/div/div[3]/div/div[1]/div/div/div/div/div/div/a[1]/img"", ""selector_id"": """", ""selector_class"": ""wp-post-image"", ""image_url"": ""https://twowombats.com/cdn/shop/files/77_Apple_and_Mint_Slim_SL_45779_Nicotine_Pouches-NPO-77X_APMI_SL_0052.webp?v=1746542208&width=675|https://twowombats.com/cdn/shop/files/77_Apple_and_Mint_Slim_SL_45780_Nicotine_Pouches-NPO-77X_APMI_SL_0104.webp?v=1746542208&width=675"", ""version"": 0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66879,simple,SKU-77-BLACK-CURRANT,,"77 Black Currant",1,0,visible,"Premium 77 Black Currant nicotine pouches by 77","Experience the premium quality of 77 Black Currant nicotine pouches by 77. These high-quality nicotine pouches provide a satisfying and discreet nicotine experience without tobacco. Perfect for on-the-go use, these pouches offer a clean and modern alternative to traditional smoking.",,,taxable,,1,,,0,0,,,,,1,,,,"Ultra Strong",,,"https://gianna.templweb.com/wp-content/uploads/2025/09/77_Black_Currant_Slim_SL_45780_Nicotine_Pouches-NPO-77X_BLCU_SL_0104-12.jpg, https://gianna.templweb.com/wp-content/uploads/2025/09/77_Black_Currant_Slim_SL_45780_Nicotine_Pouches-NPO-77X_BLCU_SL_0104-13.jpg",,,,,,,,,0,77,Manufacturer,77,1,0,,,,,77,77,77,77,77,77,04-09-2025,4nx-arctic-mint-uk----4-24---free-shipping-2025-09-04T08-13-27-095Z.csv,https://twowombats.com/products/77-nicotine-pouches-black-currant,,0,1,1,25,,,,,,,,,"{""selector"": ""div.woocommerce-product-gallery__wrapper>div.woocommerce-product-gallery__image>a>img.wp-post-image"", ""selector_xpath"": ""/html/body/div[1]/div/main/div/section/div/div/div[3]/div/div[1]/div/div/div/div/div/div/a[1]/img"", ""selector_id"": """", ""selector_class"": ""wp-post-image"", ""image_url"": ""https://twowombats.com/cdn/shop/files/77_Black_Currant_Slim_SL_45780_Nicotine_Pouches-NPO-77X_BLCU_SL_0104.webp?v=1746542207&width=675"", ""version"": 0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66882,simple,SKU-77-BLUEBERRY,,"77 Blueberry",1,0,visible,"Premium 77 Blueberry nicotine pouches by 77 with Berry flavor","Experience the premium quality of 77 Blueberry nicotine pouches by 77 with Berry flavor. These high-quality nicotine pouches provide a satisfying and discreet nicotine experience without tobacco. Perfect for on-the-go use, these pouches offer a clean and modern alternative to traditional smoking.",,,taxable,,1,,,0,0,,,,,1,,,,"Ultra Strong",,,"https://gianna.templweb.com/wp-content/uploads/2025/09/77_Blueberry_Slim_SL_3_5_Nicotine_Pouches-NPO-77X_BLUE_SL_0104-10.jpg, https://gianna.templweb.com/wp-content/uploads/2025/09/77_Blueberry_Slim_SL_3_5_Nicotine_Pouches-NPO-77X_BLUE_SL_0104-11.jpg",,,,,,,,,0,77,Flavor,Berry,1,0,Manufacturer,77,1,0,77,77,77,77,77,77,04-09-2025,4nx-arctic-mint-uk----4-24---free-shipping-2025-09-04T08-13-27-095Z.csv,https://twowombats.com/products/77-nicotine-pouches-blueberry,,0,2,2,17,,,,,,,,,,"{""selector"": ""div.woocommerce-product-gallery__wrapper>div.woocommerce-product-gallery__image>a>img.wp-post-image"", ""selector_xpath"": ""/html/body/div[1]/div/main/div/section/div/div/div[3]/div/div[1]/div/div/div/div/div/div/a[1]/img"", ""selector_id"": """", ""selector_class"": ""wp-post-image"", ""image_url"": ""https://twowombats.com/cdn/shop/files/77_Blueberry_Slim_SL_3_5_Nicotine_Pouches-NPO-77X_BLUE_SL_0104.webp?v=1747815543&width=675"", ""version"": 0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66885,simple,SKU-77-BUBBLE-GUM,,"77 Bubble Gum",1,0,visible,"Premium 77 Bubble Gum nicotine pouches by 77","Experience the premium quality of 77 Bubble Gum nicotine pouches by 77. These high-quality nicotine pouches provide a satisfying and discreet nicotine experience without tobacco. Perfect for on-the-go use, these pouches offer a clean and modern alternative to traditional smoking.",,,taxable,,1,,,0,0,,,,,1,,,,"Ultra Strong",,,"https://gianna.templweb.com/wp-content/uploads/2025/09/77_Bubble_Gum_Mini_MI_5_5_Nicotine_Pouches-NPO-77X_BUGU_MI_0200-10.jpg, https://gianna.templweb.com/wp-content/uploads/2025/09/77_Bubble_Gum_Mini_MI_5_5_Nicotine_Pouches-NPO-77X_BUGU_MI_0200-11.jpg",,,,,,,,,0,77,Manufacturer,77,1,0,,,,,77,77,77,77,77,77,08-09-2025,4nx-arctic-mint-uk----4-24---free-shipping-2025-09-04T08-13-27-095Z.csv,https://twowombats.com/products/77-nicotine-pouches-bubble-gum,,0,1,1,28,,,1,1,,,,,,,"{""selector"": ""div.woocommerce-product-gallery__wrapper>div.woocommerce-product-gallery__image>a>img.wp-post-image"", ""selector_xpath"": ""/html/body/div[1]/div/main/div/section/div/div/div[3]/div/div[1]/div/div/div/div/div/div/a[1]/img"", ""selector_id"": """", ""selector_class"": ""wp-post-image"", ""image_url"": ""https://twowombats.com/cdn/shop/files/77_Bubble_Gum_Mini_MI_5_5_Nicotine_Pouches-NPO-77X_BUGU_MI_0200.webp?v=1739986708&width=675"", ""version"": 0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
